#K Chi2
0.03 4.75459066937
0.031 4.55908447525
0.032 4.37104627981
0.033 4.18875222165
0.034 4.01449071793
0.035 3.88273741137
0.036 3.7221507481
0.037 3.56088257765
0.038 3.40764941108
0.039 3.26231082274
0.04 3.12472693644
0.041 2.99473826421
0.042 2.87211846612
0.043 2.75661420591
0.044 2.64795022796
0.045 2.54582485121
0.046 2.44991501916
0.047 2.35989016778
0.048 2.27542895488
0.049 2.19455047109
0.05 2.11786978391
0.051 2.04635217867
0.052 1.98009183647
0.053 1.91918441836
0.054 1.8637332322
0.055 1.81380098413
0.056 1.76924668855
0.057 1.72961681495
0.058 1.69579482357
0.059 1.6676974367
0.06 1.64532028544
0.061 1.62864696833
0.062 1.61765077978
0.063 1.61228942533
0.064 1.61250395531
0.065 1.61821967498
0.066 1.62934742826
0.067 1.64578513563
0.068 1.66741949513
0.069 1.69412778249
0.07 1.72577970841
0.071 1.76224065404
0.072 1.803374901
0.073 1.84903857038
0.074 1.89907921772
0.075 1.95333760548
0.076 2.01164964475
0.077 2.07384850431
0.078 2.13976689716
0.079 2.20923957017
0.08 2.28161548695
0.081 2.35718285426
0.082 2.43592696742
0.083 2.51778912063
0.084 2.60270745798
0.085 2.69061220668
0.086 2.78143003109
0.087 2.87508250725
0.088 2.97148051909
0.089 3.07052663478
0.09 3.17211513588
0.091 3.27616187949
0.092 3.38269940351
0.093 3.49179737555
0.094 3.60353212819
0.095 3.71798491369
0.096 3.83524088212
0.097 3.9553887347
0.098 4.07852102926
0.099 4.20473513349
0.1 4.33413483326
0.101 4.46678498768
0.102 4.60256118984
0.103 4.7412751466
0.104 4.88271783814
0.105 5.02665780637
0.106 5.17284018066
0.107 5.32098623429
0.108 5.47079073348
0.109 5.62192459564
0.11 5.77397369478
0.111 5.9264702738
0.112 6.07936042154
0.113 6.2324611994
0.114 6.38557831548
0.115 6.53848807496
0.116 6.69094117261
0.117 6.84266372512
0.118 6.99335354092
0.119 7.14267948594
0.12 7.2902800895
0.121 7.43576107444
0.122 7.57880304518
0.123 7.719247958
0.124 7.85732860655
0.125 7.99162757875
0.126 8.12206153773
0.127 8.24781876796
0.128 8.36421207672
0.129 8.47528327656
0.13 8.58057304188
